"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1222","verifySkillASCOrder","Surefire suite","Sat Jun 28 15:17:45 GMT 2025","failed","Sat Jun 28 15:17:46 GMT 2025","testScript.VerifyWidgetsCases","Surefire test","testScript.VerifyWidgetsCases","verifySkillASCOrder"
"","2235","createEmployeeTest","Surefire suite","Sat Jun 28 15:17:55 GMT 2025","passed","Sat Jun 28 15:17:57 GMT 2025","testScript.EmployeeCRUDCases","Surefire test","testScript.EmployeeCRUDCases","createEmployeeTest"
"","2867","createSkillAndVerifyInSame","Surefire suite","Sat Jun 28 15:17:38 GMT 2025","passed","Sat Jun 28 15:17:41 GMT 2025","testScript.VerifyWidgetsCases","Surefire test","testScript.VerifyWidgetsCases","createSkillAndVerifyInSame"
"","1296","verifyWidgets","Surefire suite","Sat Jun 28 15:17:50 GMT 2025","passed","Sat Jun 28 15:17:51 GMT 2025","testScript.VerifyWidgetsCases","Surefire test","testScript.VerifyWidgetsCases","verifyWidgets"
