"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3048","createSkillAndVerifyInSame","Surefire suite","Sat Jul 05 03:35:40 GMT 2025","passed","Sat Jul 05 03:35:43 GMT 2025","testScript.VerifyWidgetsCases","Surefire test","testScript.VerifyWidgetsCases","createSkillAndVerifyInSame"
"","2287","createEmployeeTest","Surefire suite","Sat Jul 05 03:35:56 GMT 2025","passed","Sat Jul 05 03:35:59 GMT 2025","testScript.EmployeeCRUDCases","Surefire test","testScript.EmployeeCRUDCases","createEmployeeTest"
"","1183","verifySkillASCOrder","Surefire suite","Sat Jul 05 03:35:46 GMT 2025","failed","Sat Jul 05 03:35:48 GMT 2025","testScript.VerifyWidgetsCases","Surefire test","testScript.VerifyWidgetsCases","verifySkillASCOrder"
"","1336","verifyWidgets","Surefire suite","Sat Jul 05 03:35:51 GMT 2025","passed","Sat Jul 05 03:35:53 GMT 2025","testScript.VerifyWidgetsCases","Surefire test","testScript.VerifyWidgetsCases","verifyWidgets"
