"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3189","createSkillAndVerifyInSame","Surefire suite","Sat Jun 28 15:30:33 GMT 2025","passed","Sat Jun 28 15:30:36 GMT 2025","testScript.VerifyWidgetsCases","Surefire test","testScript.VerifyWidgetsCases","createSkillAndVerifyInSame"
"","1276","verifySkillASCOrder","Surefire suite","Sat Jun 28 15:30:40 GMT 2025","failed","Sat Jun 28 15:30:41 GMT 2025","testScript.VerifyWidgetsCases","Surefire test","testScript.VerifyWidgetsCases","verifySkillASCOrder"
"","2318","createEmployeeTest","Surefire suite","Sat Jun 28 15:30:50 GMT 2025","passed","Sat Jun 28 15:30:52 GMT 2025","testScript.EmployeeCRUDCases","Surefire test","testScript.EmployeeCRUDCases","createEmployeeTest"
"","1353","verifyWidgets","Surefire suite","Sat Jun 28 15:30:45 GMT 2025","passed","Sat Jun 28 15:30:46 GMT 2025","testScript.VerifyWidgetsCases","Surefire test","testScript.VerifyWidgetsCases","verifyWidgets"
