"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1343","verifyWidgets","Surefire suite","Sun Jun 29 02:41:43 GMT 2025","passed","Sun Jun 29 02:41:45 GMT 2025","testScript.VerifyWidgetsCases","Surefire test","testScript.VerifyWidgetsCases","verifyWidgets"
"","1212","verifySkillASCOrder","Surefire suite","Sun Jun 29 02:41:39 GMT 2025","failed","Sun Jun 29 02:41:40 GMT 2025","testScript.VerifyWidgetsCases","Surefire test","testScript.VerifyWidgetsCases","verifySkillASCOrder"
"","2915","createSkillAndVerifyInSame","Surefire suite","Sun Jun 29 02:41:32 GMT 2025","passed","Sun Jun 29 02:41:35 GMT 2025","testScript.VerifyWidgetsCases","Surefire test","testScript.VerifyWidgetsCases","createSkillAndVerifyInSame"
"","2735","createEmployeeTest","Surefire suite","Sun Jun 29 02:41:48 GMT 2025","passed","Sun Jun 29 02:41:51 GMT 2025","testScript.EmployeeCRUDCases","Surefire test","testScript.EmployeeCRUDCases","createEmployeeTest"
