"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2692","createEmployeeTest","Surefire suite","Sat Jun 28 15:14:04 GMT 2025","passed","Sat Jun 28 15:14:07 GMT 2025","testScript.EmployeeCRUDCases","Surefire test","testScript.EmployeeCRUDCases","createEmployeeTest"
"","1548","verifyWidgets","Surefire suite","Sat Jun 28 15:13:58 GMT 2025","passed","Sat Jun 28 15:14:00 GMT 2025","testScript.VerifyWidgetsCases","Surefire test","testScript.VerifyWidgetsCases","verifyWidgets"
"","3720","createSkillAndVerifyInSame","Surefire suite","Sat Jun 28 15:13:44 GMT 2025","passed","Sat Jun 28 15:13:48 GMT 2025","testScript.VerifyWidgetsCases","Surefire test","testScript.VerifyWidgetsCases","createSkillAndVerifyInSame"
"","1569","verifySkillASCOrder","Surefire suite","Sat Jun 28 15:13:52 GMT 2025","failed","Sat Jun 28 15:13:54 GMT 2025","testScript.VerifyWidgetsCases","Surefire test","testScript.VerifyWidgetsCases","verifySkillASCOrder"
