"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1129","verifySkillASCOrder","Surefire suite","Sun Jun 29 02:32:23 GMT 2025","failed","Sun Jun 29 02:32:25 GMT 2025","testScript.VerifyWidgetsCases","Surefire test","testScript.VerifyWidgetsCases","verifySkillASCOrder"
"","1300","verifyWidgets","Surefire suite","Sun Jun 29 02:32:28 GMT 2025","passed","Sun Jun 29 02:32:29 GMT 2025","testScript.VerifyWidgetsCases","Surefire test","testScript.VerifyWidgetsCases","verifyWidgets"
"","2769","createSkillAndVerifyInSame","Surefire suite","Sun Jun 29 02:32:17 GMT 2025","passed","Sun Jun 29 02:32:20 GMT 2025","testScript.VerifyWidgetsCases","Surefire test","testScript.VerifyWidgetsCases","createSkillAndVerifyInSame"
