"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1201","verifySkillASCOrder","Surefire suite","Sat Jun 28 15:35:46 GMT 2025","failed","Sat Jun 28 15:35:47 GMT 2025","testScript.VerifyWidgetsCases","Surefire test","testScript.VerifyWidgetsCases","verifySkillASCOrder"
"","1346","verifyWidgets","Surefire suite","Sat Jun 28 15:35:51 GMT 2025","passed","Sat Jun 28 15:35:53 GMT 2025","testScript.VerifyWidgetsCases","Surefire test","testScript.VerifyWidgetsCases","verifyWidgets"
"","2353","createEmployeeTest","Surefire suite","Sat Jun 28 15:35:56 GMT 2025","passed","Sat Jun 28 15:35:59 GMT 2025","testScript.EmployeeCRUDCases","Surefire test","testScript.EmployeeCRUDCases","createEmployeeTest"
"","2880","createSkillAndVerifyInSame","Surefire suite","Sat Jun 28 15:35:40 GMT 2025","passed","Sat Jun 28 15:35:43 GMT 2025","testScript.VerifyWidgetsCases","Surefire test","testScript.VerifyWidgetsCases","createSkillAndVerifyInSame"
